slope ;  slope.sd ;  slope.p ;  slope.ConfInt_0.95 ;  slope.ConfInt_0.99 ;  DATA ;  var ;  slope.stat_sig
 0.124534334 ;  0.8221335406 ;  8.796136e-01 ;  1.612255137 ;  2.119547679 ;  ALL ;  DIR_att ;   12.03864
 0.379350780 ;  0.1540064129 ;  1.391772e-02 ;  0.302170105 ;  0.397364181 ;  CLEAR ;  DIR_att ;   98.60823
 5.360747001 ;  1.0621683620 ;  5.000412e-07 ;  2.083386766 ;  2.739229893 ;  CLOUD ;  DIR_att ;   99.99995
 0.395707930 ;  0.8992853833 ;  6.599631e-01 ;  1.763554711 ;  2.318453333 ;  ALL ;  DIR_transp ;   34.00369
 0.591796707 ;  0.3003886112 ;  4.906993e-02 ;  0.589381030 ;  0.775056520 ;  CLEAR ;  DIR_transp ;   95.09301
 5.363480569 ;  1.1780783149 ;  5.695312e-06 ;  2.310737976 ;  3.038150497 ;  CLOUD ;  DIR_transp ;   99.99943
 0.408561605 ;  0.0430217085 ;  2.666305e-21 ;  0.084331227 ;  0.110837776 ;  ALL ;  GLB_att ;  100.00000
 0.249298845 ;  0.0198319458 ;  9.973359e-36 ;  0.038878858 ;  0.051102275 ;  CLEAR ;  GLB_att ;  100.00000
 0.310806998 ;  0.0571236805 ;  5.466462e-08 ;  0.111978363 ;  0.147178172 ;  CLOUD ;  GLB_att ;   99.99999
 0.240115544 ;  0.8223578767 ;  7.703267e-01 ;  1.612695074 ;  2.120126042 ;  ALL ;  HOR_att ;   22.96733
 0.390275103 ;  0.2166574461 ;  7.191433e-02 ;  0.425095306 ;  0.559015089 ;  CLEAR ;  HOR_att ;   92.80857
 5.015747325 ;  1.0806991838 ;  3.746242e-06 ;  2.119733988 ;  2.787019098 ;  CLOUD ;  HOR_att ;   99.99963
-0.004624822 ;  0.0005406537 ;  1.359500e-17 ;  0.001059788 ;  0.001392894 ;  ALL ;  tsi1au_att ;  100.00000
