slope ;  slope.sd ;  slope.p ;  DATA ;  Season ;  var ;  slope.stat_sig
 2.8719013 ;  2.38928435 ;  2.299276e-01 ;  ALL ;  Winter ;  DIR_att ;   77.00724
-1.9184215 ;  1.35828138 ;  1.583682e-01 ;  ALL ;  Spring ;  DIR_att ;   84.16318
 1.1720556 ;  0.83682343 ;  1.619164e-01 ;  ALL ;  Summer ;  DIR_att ;   83.80836
-0.8752927 ;  1.85557925 ;  6.373282e-01 ;  ALL ;  Autumn ;  DIR_att ;   36.26718
 0.7240558 ;  0.11558914 ;  4.441655e-10 ;  ALL ;  Winter ;  GLB_att ;  100.00000
 0.2691585 ;  0.08548808 ;  1.660277e-03 ;  ALL ;  Spring ;  GLB_att ;   99.83397
 0.1631475 ;  0.03779750 ;  1.647031e-05 ;  ALL ;  Summer ;  GLB_att ;   99.99835
 0.4910270 ;  0.09093062 ;  7.282110e-08 ;  ALL ;  Autumn ;  GLB_att ;   99.99999
 1.3181103 ;  0.29071754 ;  9.933345e-06 ;  CLEAR ;  Winter ;  DIR_att ;   99.99901
 0.1311528 ;  0.33773035 ;  6.980980e-01 ;  CLEAR ;  Spring ;  DIR_att ;   30.19020
 0.1726822 ;  0.25040938 ;  4.908439e-01 ;  CLEAR ;  Summer ;  DIR_att ;   50.91561
 0.1670467 ;  0.37255420 ;  6.542331e-01 ;  CLEAR ;  Autumn ;  DIR_att ;   34.57669
 0.4877906 ;  0.03593293 ;  4.007649e-38 ;  CLEAR ;  Winter ;  GLB_att ;  100.00000
 0.2331419 ;  0.04830606 ;  1.567070e-06 ;  CLEAR ;  Spring ;  GLB_att ;   99.99984
 0.1470793 ;  0.03336743 ;  1.099779e-05 ;  CLEAR ;  Summer ;  GLB_att ;   99.99890
 0.2547071 ;  0.03830044 ;  4.429760e-11 ;  CLEAR ;  Autumn ;  GLB_att ;  100.00000
